Content,Classify
"1 chiếc quần săn sale giá rẻ, lên fom dáng rất đẹp. Cứ nghĩ mua cho có ai ngờ lúc mặc lên tôn dáng lắm",1
"1 phút sơ sót, kiểm hàng rồi định bỏ vào máy giặt để giặt rồi mặc, ai ngờ khi lật mặt sau cái áo thì thấy mấy vết như vầy, chất áo ổn áp hết mặc mát mà mấy vết này làm ảnh hưởng quá, bên shop giao hàng kh kỹ hay là để khách ôm mấy cái lỗi như vầy cho bớt lỗ vậy 🙄🙄🙄",2
1.63 nặng 47 kg eo 62. Mặc size S. Lưng vừa dư 2cm dự phòng. Mẫu quần jean đen ống ngắn hơn 3-4cm so với mẫu jean xanh đậm. Trời ơi mới giặt rồi mặc lần đầu. Đang ngồi chơi nhìn xuống QUÊ . JEAN 158K EO ÔI,2
1000/10 nhé,1
"1m63-65 mang size M nhaa, ống dài và rộng form rất đẹp, mang cực kì thoải mái, nên mua vì giá rẻ mà chất liệu rất tốt ạ",1
52kg lưng vừa i hong rộng cũng hong chật ai hong to nên đặt size lớn hơn,0
"Áo bị ra màu loang lổ.Shop nhắn tin đổi trả cho m nhưng yêu cầu đánh giá lại cho 5 sao trước mới giao hàng, m bảo khi nào m nhận hàng mới đánh giá lại thì không thấy shop gửi hàng đổi trả cho m",2
"Áo vạt sau màu trắng, hàng về chỉ vò sơ qua mà bị dính màu ở vạt trước (xanh than) vào sau. Khỏi mang 🙂🙂",2
Ban đầu mình cũng lo vs sp vì sp khá rẻ và đánh giá tiêu cực. Nhưng khi mình nhận về thì mình cũng lo vì thấy khá nhỏ. Mình 1m55. 52kg nhưng vẫn liều đặt size M. Nhìn khá nhỏ nhưng mặc vào ôm vừa in. Hơi chật bụng 1 xíu nhưng không s. Vải co dãn tốt. Màu nhạt hơn hình. Cạp quần cao,0
Quần cũng ok đẹp phù hợp với giá tiền do mình lùn nên hơi dài hic,1
Quần cũng ok. Mặc đẹp. Cho shop 10 sao về chất lượng. Đóng gói hàng đẹp,1
"Ban đầu mình đặt size L vì nghĩ đặt size to ra tí thì nó cũng vừa hoặc rộng thì có kẹp để thắt lại, đặt xong đi hỏi shop tư vấn size shop kêu size 2XL sốc quá nhưng giao r kh hủy đc cái nhận hàng, mình thử thì vừa in nhma hơi rộng tí quần dài đến mắt cá chân form đẹp, nhma lần sau shop chú ý tư vấn lại size nhé=)))) do mình chỉnh ảnh tối nên quần mới ra màu đen xám",0
"Biết là rộng nma kh nghĩ rộng tới vậy. Mình 1m58 40kg mặc quần bị rộng eo, ống hơi to, dài. Chắc phải đi sửa lại. Vải cũng mỏng nma giá này nên kh đòi hỏi nhiều.",0
"Cái form quần đẹp xỉu, vải lại đẹp, giá lại rẻ. Lúc mua k hi vọng gì nhiều đâu nhưng mà nhận hàng rồi thử đẹp quá trời luôn.",1
Cái quần xinh gì đâu á. Mình không ngờ với giá như vậy lại có chiếc quần chất lượng như vậy. Quần này trong shop cũng phải 230 trở lên.,1
Cảm ơn shop giao hàng nhanh .đẹp .sẻ ủng hộ nữa,1
Chăm sóc khách hàng của shop này rất chán. Bên giao hàng cập Nhật sai trạng thái (ghi khách đi vắng k giao được trong khi tôi ở nhà cả ngày và không nhận được cuộc gọi nào). Tôi báo cáo shop để shop đi liên hệ bên giao hàng xem thế nào shop lại bảo “mình kiểm tra giúp Shop”. Bực cả mình,2
"Chất liệu đẹp, bền, giao hàng lâu, cạp hơi thấp, mặc chật. :(((",2
Chất liệu:vải xấu nếu với giá tiền này mua ở shop khác sẽ đc quần vải đẹp hơn như này,2
"Chất lượng quá tệ, dù giá rẻ nhưng mà chỉ muốn bung ra hết. Mắc vô là chỉ muốn đứt. Chỉ gì mà cầm tay kéo chỉ thừa là bay hết nha, chả cố định tí nào. Quá tệ",2
"Chất lượng sản phẩm đẹp, chất vải dày dặn, giao hàng nhanh lắm nhaa🥰🥰",1
Chất lượng sản phẩm tốt,1
"Chất lượng tạm ổn , quần có mùi gì hơi khó chịu mình không biết mùi gì nữa, form lên đẹp",0
"Quan dep , day dan lung sieu cao mac hachk dang lam luon nhung hoi dai cat bot di moi vua , hang ok t z g shop 5 sao",1
"chất quá nóng, mình xem thử sản phẩm thì thấy chất quá nóng và đã trả lại luôn",2
chất quần đẹp đứng form shop giao nhầm size nma thôi dù gì cũng mặc vừa sau này hy vọng shop k giao nhầm size nthe nữa,1
Chất quần đẹp nhưng 4sao vì sự thiếu sót hết sức to lớn này 🙂,2
"Chất quần khá ok, chất vải như trg vid, mặc vào bị dính bẩn , quần bên ngoài cũng dính bẩn chút. Ống quần khá là rộng và dài , mik m55-45kg mặc như kia . Giao hàng lâu đặt từ 15/9 đến 15/10 mới nhận đc hàng 🥲🥲🥲🥲🥲",2
"Chất vải đẹp, đóng gói cẩn thận,giao hàng nhanh chắc chắn hihi",1
"Chất vải mỏng, thích hợp cho hè hoặc thu, form quần rộng nha và với giá tiền thì khá là phù hợp!",1
"Chỗ thắt eo thì vừa nhưng quần to kiểu rộng thùng thình í🥲🥲, k đẹp tí nào. Màu nhạt so với ảnh",2
"chời ơi hơn cả mong đợi nha, quần vải dày lắm đẹp xịn sẽ ủng hộ ạaa",1
"Chưa mặc nên chưa biết tnao nhưng chất vải hơi dày, cảm giác bí",0
Có 1 lỗi ngay chỗ gần đũng quần nhưng lười đổi trả nên thôi chấp nhận,2
"Có một chút chỉ thừa, các bạn nên cân nhắc số đo để phù hợp.",0
"có nhiều chỉ thừa quần bị tưa chỉ trên một số chỗ trên bề mặt quần, chất vải hơi mỏng =))",2
Còn quần ổn nên mua,1
"Cực ưng lun ,vãi xịn mịn ok đáng mua lun",1
"Quần đẹp , vải vừa phải mặc mát , ko quá dày , đáng tiền mua , bạn nào 46k mình khuyên nên mua size M ,tại mình mua size S thấy hơi trật",1
"cũm okii m68 50kg mặc L vừa nma lên XL thì sẽ đẹp hơn, chất xịnnnnn",1
"Đã nhận được hàng , chất liệu cũng khá bình thường , sale ảo thực ra vẫn là giá gốc sản phẩm , mua hôm thứ 6 tuần trước thứ 5 tuần sau mới có , hà nội vơi hà nội , nói chung là shop quả lý kém ... không mua lại",2
"Đúng mẫu nhg k đúng form quần, size hơi rộng xíu nc vẫn vừa nhg phần hông 2 bên đùi ngoài bị rộng thùng thình như baggy làm mất dáng quần, mặc xấu vch ạ, chả lẽ do dáng ng tui à, nhg mua về mặc k đc mà mất công sửa khó chịu vl, cảm thấy k đáng 😑😑😑",2
"Không nỡ chấm 2sao nhưng quần xấu quá, chỉ được cái mùi thơm. Lên form k đẹp. Đó là 1 chiếc quần phí tiền.",2
